CO_CURSO,NOME_CURSO
4186,Pedagogia (Licenciatura)
7682,Educação Física (Licenciatura)
11590,Física (Licenciatura)
11591,Matemática (Licenciatura)
11592,Química (Licenciatura)
11593,Ciências Biológicas (Licenciatura)
11594,Educação Física (Licenciatura)
11598,Geografia (Licenciatura)
11603,História (Licenciatura)
11605,Pedagogia (Licenciatura)
11613,História (Licenciatura)
11614,Geografia (Licenciatura)
13399,Ciências Biológicas (Licenciatura)
13400,Física (Licenciatura)
13401,Ciência Da Computação (Bacharelado)
13402,Matemática (Licenciatura)
13404,Química (Licenciatura)
13405,História (Licenciatura)
13406,Geografia (Licenciatura)
13407,Geografia (Licenciatura)
13409,Filosofia (Licenciatura)
13410,Pedagogia (Licenciatura)
13415,História (Licenciatura)
13418,Pedagogia (Licenciatura)
13423,Educação Física (Licenciatura)
13427,Arquitetura e Urbanismo
13428,Engenharia de Alimentos
13429,Engenharia Civil
13430,Engenharia Mecânica
13431,Química (Bacharelado)
13436,Ciências Sociais (Licenciatura)
13438,Engenharia Elétrica
13439,Engenharia Civil
13441,Engenharia Química
13442,Engenharia Mecânica
13444,Engenharia
13445,Engenharia
13446,Ciência Da Computação (Bacharelado)
13448,Matemática (Licenciatura)
13449,História (Licenciatura)
13452,Pedagogia (Licenciatura)
13456,Engenharia Florestal
13459,Ciências Sociais (Bacharelado)
17924,Filosofia (Licenciatura)
19047,Ciência Da Computação (Bacharelado)
19563,Engenharia de Produção
25789,Letras-Português (Licenciatura)
32097,Letras-Português (Licenciatura)
38551,Arquitetura e Urbanismo
46068,Sistemas De Informação
49071,Sistemas De Informação
58391,Tecnologia em Redes de Computadores
59078,Ciência Da Computação (Bacharelado)
64664,Sistemas De Informação
65205,Arquitetura e Urbanismo
79570,Engenharia de Produção
80892,Tecnologia em Análise e Desenvolvimento de Sistemas
80956,Tecnologia em Redes de Computadores
81312,Química (Licenciatura)
82602,Engenharia Ambiental
82605,Filosofia (Licenciatura)
82608,Ciências Biológicas (Licenciatura)
82615,Ciência Da Computação (Licenciatura)
82619,Letras-Português (Licenciatura)
86826,Engenharia Ambiental
91215,Letras-Português e Inglês (Licenciatura)
95104,Tecnologia em Análise e Desenvolvimento de Sistemas
97039,Música (Licenciatura)
97767,Ciências Biológicas (Licenciatura)
98984,Ciência Da Computação (Licenciatura)
99045,Matemática (Licenciatura)
99802,Ciências Biológicas (Licenciatura)
99804,Ciências Biológicas (Licenciatura)
99806,Matemática (Licenciatura)
99808,Química (Licenciatura)
99810,Física (Licenciatura)
103481,Engenharia Elétrica
107356,Pedagogia (Licenciatura)
107360,Sistemas De Informação
107438,Artes Visuais (Licenciatura)
107548,Letras-Português (Licenciatura)
107549,Letras - Inglês
109626,Pedagogia (Licenciatura)
109948,Matemática (Licenciatura)
109950,Pedagogia (Licenciatura)
109954,Letras-Português (Licenciatura)
112282,Engenharia Ambiental
112294,Engenharia de Alimentos
113604,Engenharia Química
113609,Engenharia Elétrica
113615,Engenharia Ambiental
113617,Engenharia
113699,Ciências Biológicas (Licenciatura)
113953,Matemática (Licenciatura)
113958,Letras-Português (Licenciatura)
113974,Letras - Inglês
114053,Ciência Da Computação (Licenciatura)
114055,Ciências Biológicas (Bacharelado)
114099,Pedagogia (Licenciatura)
118550,Engenharia de Alimentos
118562,Engenharia
118630,Música (Licenciatura)
120777,Geografia (Licenciatura)
121366,Filosofia (Bacharelado)
121367,Filosofia (Licenciatura)
122924,Pedagogia (Licenciatura)
122934,Engenharia de Produção
123233,Química (Licenciatura)
311593,Ciências Biológicas (Bacharelado)
313399,Ciências Biológicas (Bacharelado)
313400,Física (Bacharelado)
313402,Matemática (Bacharelado)
313404,Química (Bacharelado)
313406,Geografia (Bacharelado)
313409,Filosofia (Bacharelado)
313436,Ciências Sociais (Bacharelado)
313448,Matemática (Bacharelado)
318388,Física (Bacharelado)
397767,Ciências Biológicas (Bacharelado)
1106561,Engenharia
1106562,Engenharia
1106578,Engenharia de Produção
1106595,Ciências Sociais (Licenciatura)
1110230,Ciências Sociais (Licenciatura)
1112324,Tecnologia em Gestão da Tecnologia da Informação
1124974,Pedagogia (Licenciatura)
1127164,Engenharia Da Computação
1127932,Tecnologia em Gestão da Tecnologia da Informação
1128030,Matemática (Licenciatura)
1128096,Matemática (Licenciatura)
1129147,Arquitetura e Urbanismo
1152880,Matemática (Licenciatura)
1152881,Química (Licenciatura)
1152882,Ciências Biológicas (Licenciatura)
1158116,Letras-Português (Licenciatura)
1158907,Letras - Inglês
1160083,Letras-Português (Licenciatura)
1161324,Química (Licenciatura)
1162185,Letras - Inglês
1163320,Engenharia Civil
1164547,Engenharia Civil
1164549,Engenharia Elétrica
1164655,Engenharia Mecânica
1166614,Tecnologia em Análise e Desenvolvimento de Sistemas
1172797,Engenharia Civil
1176228,Letras-Português (Licenciatura)
1178920,Engenharia Civil
1179346,Engenharia Civil
1179354,Tecnologia em Redes de Computadores
1182641,Física (Licenciatura)
1184297,Arquitetura e Urbanismo
1188374,Física (Licenciatura)
1188396,Educação Física (Licenciatura)
1189063,Engenharia
1190071,Ciência Da Computação (Bacharelado)
1192251,Pedagogia (Licenciatura)
1203266,Ciência Da Computação (Licenciatura)
1204358,Física (Licenciatura)
1258063,Ciência Da Computação (Bacharelado)
1314244,Física (Licenciatura)
5000897,Química (Bacharelado)
5000898,Letras-Português (Licenciatura)
1152879,Física (Licenciatura)
1265453,Ciência Da Computação (Bacharelado)
